10:2:2:10 => [2, 2, 4, 2, 2, 2, 4, 2, 2, 4]-[2, 2, 0, 2, 2, 2, 0, 2, 2, 0]
10:2:3:10 => [3, 3, 6, 0, 6, 0, 3, 3, 6, 3]-[3, 3, 0, 6, 0, 6, 3, 3, 0, 3]
10:2:4:10 => [4, 8, 8, 4, 4, 8, 0, 8, 4, 4]-[4, 0, 0, 4, 4, 0, 8, 0, 4, 4]
10:2:5:10 => [9, 0, 5, 5, 5, 5, 10, 10, 5, 10]-[1, 10, 5, 5, 5, 5, 0, 0, 5, 0]
10:2:6:10 => [8, 6, 6, 0, 12, 6, 12, 6, 12, 6]-[4, 6, 6, 12, 0, 6, 0, 6, 0, 6]
10:2:7:10 => [14, 14, 14, 0, 14, 14, 7, 7, 7, 7]-[0, 0, 0, 14, 0, 0, 7, 7, 7, 7]
10:2:8:10 => [3, 0, 0, 0, 16, 8, 0, 8, 16, 8]-[13, 16, 16, 16, 0, 8, 16, 8, 0, 8]
10:2:9:10 => [13, 9, 18, 9, 9, 9, 18, 9, 18, 18]-[5, 9, 0, 9, 9, 9, 0, 9, 0, 0]
10:2:10:10 => [3, 0, 10, 20, 20, 10, 10, 20, 10, 10]-[17, 20, 10, 0, 0, 10, 10, 0, 10, 10]
10:3:2:10 => [4, 0, 6, 2, 2, 2, 2, 4, 4, 6]-[2, 6, 0, 4, 4, 4, 4, 2, 2, 0]
10:3:3:10 => [9, 3, 9, 6, 3, 9, 6, 0, 6, 6]-[0, 6, 0, 3, 6, 0, 3, 9, 3, 3]
10:3:4:10 => [10, 8, 4, 4, 4, 4, 12, 12, 12, 8]-[2, 4, 8, 8, 8, 8, 0, 0, 0, 4]
10:3:5:10 => [5, 5, 5, 5, 5, 5, 10, 10, 5, 0]-[10, 10, 10, 10, 10, 10, 5, 5, 10, 15]
10:3:6:10 => [18, 18, 12, 12, 12, 12, 12, 12, 0, 6]-[0, 0, 6, 6, 6, 6, 6, 6, 18, 12]
10:3:7:10 => [14, 14, 7, 7, 7, 14, 7, 0, 7, 7]-[7, 7, 14, 14, 14, 7, 14, 21, 14, 14]
10:3:8:10 => [8, 9, 8, 8, 24, 24, 16, 0, 8, 16]-[16, 15, 16, 16, 0, 0, 8, 24, 16, 8]
10:3:9:10 => [18, 10, 27, 18, 18, 18, 18, 0, 18, 9]-[9, 17, 0, 9, 9, 9, 9, 27, 9, 18]
