10:2:2:10 => [2, 0, 2, 2, 4, 2, 4, 2, 2, 2]-[2, 4, 2, 2, 0, 2, 0, 2, 2, 2]
10:2:3:10 => [6, 3, 6, 6, 6, 6, 3, 0, 3, 9]-[3, 6, 3, 3, 3, 3, 6, 9, 6, 0]
10:2:4:10 => [8, 8, 8, 12, 8, 16, 4, 4, 4, 0]-[8, 8, 8, 4, 8, 0, 12, 12, 12, 16]
10:2:5:10 => [13, 15, 0, 20, 5, 5, 25, 15, 15, 15]-[12, 10, 25, 5, 20, 20, 0, 10, 10, 10]
10:2:6:10 => [24, 6, 24, 18, 30, 12, 12, 24, 18, 12]-[12, 30, 12, 18, 6, 24, 24, 12, 18, 24]
10:2:7:10 => [18, 42, 35, 21, 14, 49, 14, 14, 14, 21]-[31, 7, 14, 28, 35, 0, 35, 35, 35, 28]
10:2:8:10 => [32, 32, 48, 48, 32, 16, 16, 32, 32, 48]-[32, 32, 16, 16, 32, 48, 48, 32, 32, 16]
10:2:9:10 => [64, 63, 27, 36, 36, 54, 9, 45, 63, 36]-[17, 18, 54, 45, 45, 27, 72, 36, 18, 45]
10:2:10:10 => [66, 32, 70, 80, 50, 60, 40, 60, 60, 50]-[34, 68, 30, 20, 50, 40, 60, 40, 40, 50]
10:2:11:10 => [64, 49, 66, 55, 66, 55, 77, 55, 66, 44]-[57, 72, 55, 66, 55, 66, 44, 66, 55, 77]
10:2:12:10 => [53, 47, 65, 108, 108, 84, 108, 72, 36, 84]-[91, 97, 79, 36, 36, 60, 36, 72, 108, 60]
10:2:13:10 => [73, 92, 65, 91, 104, 52, 65, 104, 78, 65]-[96, 77, 104, 78, 65, 117, 104, 65, 91, 104]
10:2:14:10 => [108, 98, 112, 84, 84, 98, 140, 98, 98, 56]-[88, 98, 84, 112, 112, 98, 56, 98, 98, 140]
10:2:15:10 => [122, 181, 92, 105, 120, 150, 105, 135, 135, 120]-[103, 44, 133, 120, 105, 75, 120, 90, 90, 105]
10:2:16:10 => [91, 157, 175, 160, 166, 176, 96, 112, 192, 128]-[165, 99, 81, 96, 90, 80, 160, 144, 64, 128]
10:2:17:10 => [82, 124, 124, 136, 187, 221, 238, 119, 136, 119]-[207, 165, 165, 153, 102, 68, 51, 170, 153, 170]
10:2:18:10 => [87, 75, 178, 108, 180, 216, 162, 162, 108, 252]-[237, 249, 146, 216, 144, 108, 162, 162, 216, 72]
10:2:19:10 => [147, 185, 80, 190, 190, 95, 171, 133, 133, 133]-[214, 176, 281, 171, 171, 266, 190, 228, 228, 228]
