10:2:2:10 => [0, 4, 2, 0, 0, 2, 2, 4, 4, 4]-[4, 0, 2, 4, 4, 2, 2, 0, 0, 0]
10:2:3:10 => [6, 0, 6, 6, 3, 3, 6, 3, 0, 0]-[0, 6, 0, 0, 3, 3, 0, 3, 6, 6]
10:2:4:10 => [4, 4, 4, 8, 8, 4, 4, 4, 4, 0]-[4, 4, 4, 0, 0, 4, 4, 4, 4, 8]
10:2:5:10 => [0, 5, 5, 0, 5, 5, 5, 5, 5, 5]-[10, 5, 5, 10, 5, 5, 5, 5, 5, 5]
10:2:6:10 => [6, 6, 12, 12, 6, 6, 6, 12, 0, 6]-[6, 6, 0, 0, 6, 6, 6, 0, 12, 6]
10:2:7:10 => [0, 7, 7, 7, 0, 0, 0, 7, 0, 7]-[14, 7, 7, 7, 14, 14, 14, 7, 14, 7]
10:2:8:10 => [2, 8, 16, 0, 8, 8, 8, 8, 16, 0]-[14, 8, 0, 16, 8, 8, 8, 8, 0, 16]
10:2:9:10 => [9, 0, 9, 18, 18, 9, 18, 0, 9, 9]-[9, 18, 9, 0, 0, 9, 0, 18, 9, 9]
10:2:10:10 => [1, 0, 20, 10, 0, 10, 0, 10, 10, 0]-[19, 20, 0, 10, 20, 10, 20, 10, 10, 20]
10:3:2:10 => [4, 2, 4, 4, 4, 6, 2, 4, 4, 6]-[2, 4, 2, 2, 2, 0, 4, 2, 2, 0]
10:3:3:10 => [3, 6, 3, 9, 3, 6, 3, 3, 3, 6]-[6, 3, 6, 0, 6, 3, 6, 6, 6, 3]
10:3:4:10 => [0, 4, 4, 4, 8, 4, 12, 8, 4, 0]-[12, 8, 8, 8, 4, 8, 0, 4, 8, 12]
10:3:5:10 => [0, 5, 0, 5, 10, 0, 15, 15, 5, 0]-[15, 10, 15, 10, 5, 15, 0, 0, 10, 15]
10:3:6:10 => [12, 12, 0, 0, 6, 6, 12, 12, 12, 0]-[6, 6, 18, 18, 12, 12, 6, 6, 6, 18]
10:3:7:10 => [1, 7, 7, 21, 7, 7, 7, 14, 7, 0]-[20, 14, 14, 0, 14, 14, 14, 7, 14, 21]
10:3:8:10 => [1, 8, 24, 8, 8, 24, 8, 24, 24, 8]-[23, 16, 0, 16, 16, 0, 16, 0, 0, 16]
10:3:9:10 => [6, 4, 9, 9, 0, 0, 9, 9, 27, 27]-[21, 23, 18, 18, 27, 27, 18, 18, 0, 0]
10:3:10:10 => [30, 10, 20, 20, 10, 0, 20, 20, 10, 10]-[0, 20, 10, 10, 20, 30, 10, 10, 20, 20]
10:4:2:10 => [2, 4, 4, 4, 6, 2, 4, 2, 4, 6]-[6, 4, 4, 4, 2, 6, 4, 6, 4, 2]
10:4:3:10 => [9, 6, 3, 9, 6, 6, 3, 12, 3, 3]-[3, 6, 9, 3, 6, 6, 9, 0, 9, 9]
10:4:4:10 => [8, 12, 4, 4, 4, 8, 8, 8, 8, 12]-[8, 4, 12, 12, 12, 8, 8, 8, 8, 4]
10:4:5:10 => [9, 10, 10, 10, 15, 5, 10, 15, 10, 15]-[11, 10, 10, 10, 5, 15, 10, 5, 10, 5]
10:4:6:10 => [9, 24, 18, 18, 0, 18, 12, 18, 12, 12]-[15, 0, 6, 6, 24, 6, 12, 6, 12, 12]
10:4:7:10 => [9, 10, 14, 28, 0, 28, 21, 14, 14, 21]-[19, 18, 14, 0, 28, 0, 7, 14, 14, 7]
10:4:8:10 => [13, 16, 16, 16, 16, 0, 16, 24, 8, 8]-[19, 16, 16, 16, 16, 32, 16, 8, 24, 24]
10:4:9:10 => [27, 12, 18, 27, 0, 0, 27, 18, 0, 18]-[9, 24, 18, 9, 36, 36, 9, 18, 36, 18]
10:4:10:10 => [33, 30, 30, 0, 10, 10, 20, 20, 20, 30]-[7, 10, 10, 40, 30, 30, 20, 20, 20, 10]
10:5:2:10 => [6, 6, 8, 8, 6, 8, 0, 6, 6, 4]-[4, 4, 2, 2, 4, 2, 10, 4, 4, 6]
10:5:3:10 => [6, 6, 12, 9, 12, 9, 9, 9, 15, 3]-[9, 9, 3, 6, 3, 6, 6, 6, 0, 12]
10:5:4:10 => [16, 8, 20, 4, 4, 4, 4, 12, 8, 8]-[4, 12, 0, 16, 16, 16, 16, 8, 12, 12]
10:5:5:10 => [10, 10, 10, 5, 15, 20, 15, 15, 15, 10]-[15, 15, 15, 20, 10, 5, 10, 10, 10, 15]
10:5:6:10 => [12, 30, 12, 24, 18, 18, 6, 0, 18, 18]-[18, 0, 18, 6, 12, 12, 24, 30, 12, 12]
10:5:7:10 => [7, 14, 21, 28, 14, 14, 28, 28, 21, 14]-[28, 21, 14, 7, 21, 21, 7, 7, 14, 21]
10:5:8:10 => [18, 25, 16, 8, 16, 8, 32, 24, 16, 8]-[22, 15, 24, 32, 24, 32, 8, 16, 24, 32]
10:5:9:10 => [28, 27, 36, 27, 18, 18, 9, 27, 45, 27]-[17, 18, 9, 18, 27, 27, 36, 18, 0, 18]
10:5:10:10 => [2, 31, 10, 40, 20, 20, 40, 20, 10, 30]-[48, 19, 40, 10, 30, 30, 10, 30, 40, 20]
10:6:2:10 => [6, 2, 8, 10, 10, 6, 6, 8, 4, 6]-[6, 10, 4, 2, 2, 6, 6, 4, 8, 6]
10:6:3:10 => [7, 12, 6, 9, 3, 18, 9, 9, 12, 9]-[11, 6, 12, 9, 15, 0, 9, 9, 6, 9]
10:6:4:10 => [24, 16, 12, 12, 12, 8, 12, 12, 16, 8]-[0, 8, 12, 12, 12, 16, 12, 12, 8, 16]
10:6:5:10 => [25, 5, 10, 15, 20, 20, 20, 10, 15, 20]-[5, 25, 20, 15, 10, 10, 10, 20, 15, 10]
10:6:6:10 => [6, 6, 6, 24, 36, 18, 18, 12, 12, 24]-[30, 30, 30, 12, 0, 18, 18, 24, 24, 12]
10:6:7:10 => [21, 21, 28, 21, 28, 14, 14, 21, 21, 14]-[21, 21, 14, 21, 14, 28, 28, 21, 21, 28]
10:6:8:10 => [32, 24, 24, 16, 16, 24, 24, 24, 32, 24]-[16, 24, 24, 32, 32, 24, 24, 24, 16, 24]
10:6:9:10 => [25, 18, 36, 27, 27, 27, 27, 27, 9, 18]-[29, 36, 18, 27, 27, 27, 27, 27, 45, 36]
10:6:10:10 => [10, 28, 10, 50, 30, 50, 30, 40, 30, 40]-[50, 32, 50, 10, 30, 10, 30, 20, 30, 20]
10:7:2:10 => [8, 4, 10, 8, 6, 6, 6, 10, 8, 6]-[6, 10, 4, 6, 8, 8, 8, 4, 6, 8]
10:7:3:10 => [12, 6, 6, 12, 15, 9, 9, 0, 9, 9]-[9, 15, 15, 9, 6, 12, 12, 21, 12, 12]
10:7:4:10 => [15, 20, 20, 8, 24, 8, 8, 20, 12, 12]-[13, 8, 8, 20, 4, 20, 20, 8, 16, 16]
10:7:5:10 => [25, 0, 15, 30, 10, 5, 20, 20, 20, 20]-[10, 35, 20, 5, 25, 30, 15, 15, 15, 15]
10:7:6:10 => [36, 30, 30, 18, 36, 12, 12, 18, 18, 24]-[6, 12, 12, 24, 6, 30, 30, 24, 24, 18]
10:7:7:10 => [35, 21, 35, 0, 28, 35, 28, 21, 28, 35]-[14, 28, 14, 49, 21, 14, 21, 28, 21, 14]
10:7:8:10 => [23, 30, 48, 32, 8, 24, 16, 32, 48, 16]-[33, 26, 8, 24, 48, 32, 40, 24, 8, 40]
10:7:9:10 => [43, 36, 27, 9, 36, 9, 36, 27, 45, 27]-[20, 27, 36, 54, 27, 54, 27, 36, 18, 36]
10:7:10:10 => [40, 33, 50, 20, 20, 30, 10, 20, 30, 30]-[30, 37, 20, 50, 50, 40, 60, 50, 40, 40]
10:8:2:10 => [6, 8, 14, 10, 10, 8, 4, 6, 8, 6]-[10, 8, 2, 6, 6, 8, 12, 10, 8, 10]
10:8:3:10 => [21, 12, 9, 9, 12, 9, 18, 15, 6, 9]-[3, 12, 15, 15, 12, 15, 6, 9, 18, 15]
10:8:4:10 => [20, 16, 12, 16, 4, 20, 12, 12, 24, 12]-[12, 16, 20, 16, 28, 12, 20, 20, 8, 20]
10:8:5:10 => [15, 25, 20, 20, 25, 20, 30, 10, 15, 20]-[25, 15, 20, 20, 15, 20, 10, 30, 25, 20]
10:8:6:10 => [20, 18, 24, 18, 12, 36, 24, 18, 30, 18]-[28, 30, 24, 30, 36, 12, 24, 30, 18, 30]
10:8:7:10 => [9, 49, 21, 14, 42, 28, 42, 21, 42, 35]-[47, 7, 35, 42, 14, 28, 14, 35, 14, 21]
10:8:8:10 => [23, 32, 30, 32, 32, 48, 48, 24, 32, 24]-[41, 32, 34, 32, 32, 16, 16, 40, 32, 40]
10:8:9:10 => [39, 27, 54, 18, 36, 36, 27, 45, 45, 54]-[33, 45, 18, 54, 36, 36, 45, 27, 27, 18]
10:8:10:10 => [52, 35, 53, 50, 40, 60, 20, 60, 50, 40]-[28, 45, 27, 30, 40, 20, 60, 20, 30, 40]
10:9:2:10 => [8, 10, 8, 10, 14, 6, 4, 0, 2, 16]-[10, 8, 10, 8, 4, 12, 14, 18, 16, 2]
10:9:3:10 => [5, 3, 9, 12, 15, 18, 9, 9, 15, 12]-[22, 24, 18, 15, 12, 9, 18, 18, 12, 15]
10:9:4:10 => [16, 16, 20, 20, 20, 20, 16, 12, 16, 16]-[20, 20, 16, 16, 16, 16, 20, 24, 20, 20]
10:9:5:10 => [19, 20, 10, 20, 25, 15, 20, 25, 20, 30]-[26, 25, 35, 25, 20, 30, 25, 20, 25, 15]
10:9:6:10 => [21, 7, 24, 24, 48, 30, 36, 0, 12, 30]-[33, 47, 30, 30, 6, 24, 18, 54, 42, 24]
10:9:7:10 => [32, 35, 43, 21, 35, 28, 35, 21, 49, 42]-[31, 28, 20, 42, 28, 35, 28, 42, 14, 21]
10:9:8:10 => [46, 48, 51, 40, 64, 48, 32, 48, 40, 32]-[26, 24, 21, 32, 8, 24, 40, 24, 32, 40]
10:9:9:10 => [18, 27, 54, 54, 27, 36, 36, 63, 27, 36]-[63, 54, 27, 27, 54, 45, 45, 18, 54, 45]
10:9:10:10 => [38, 50, 60, 50, 50, 20, 50, 50, 50, 30]-[52, 40, 30, 40, 40, 70, 40, 40, 40, 60]
10:10:2:10 => [12, 18, 6, 8, 6, 8, 12, 14, 6, 6]-[8, 2, 14, 12, 14, 12, 8, 6, 14, 14]
10:10:3:10 => [18, 12, 21, 12, 18, 18, 12, 18, 18, 21]-[12, 18, 9, 18, 12, 12, 18, 12, 12, 9]
10:10:4:10 => [30, 16, 20, 24, 16, 24, 20, 20, 20, 20]-[10, 24, 20, 16, 24, 16, 20, 20, 20, 20]
10:10:5:10 => [34, 16, 30, 30, 30, 25, 20, 25, 25, 40]-[16, 34, 20, 20, 20, 25, 30, 25, 25, 10]
10:10:6:10 => [25, 30, 6, 18, 30, 18, 30, 36, 30, 36]-[35, 30, 54, 42, 30, 42, 30, 24, 30, 24]
10:10:7:10 => [36, 28, 56, 49, 35, 35, 49, 42, 42, 21]-[34, 42, 14, 21, 35, 35, 21, 28, 28, 49]
10:10:8:10 => [31, 69, 40, 24, 48, 40, 24, 48, 24, 40]-[49, 11, 40, 56, 32, 40, 56, 32, 56, 40]
10:10:9:10 => [42, 54, 30, 72, 27, 63, 27, 36, 36, 18]-[48, 36, 60, 18, 63, 27, 63, 54, 54, 72]
10:10:10:10 => [49, 15, 23, 50, 70, 40, 70, 40, 50, 60]-[51, 85, 77, 50, 30, 60, 30, 60, 50, 40]
